Gender,Location,Age.Band,Age,Completion.Time,Part.A.Score,Part.B.Score,Part.C.Score
M,E,M,47,109,67,37,49
M,C,U,10,77,27,8,42
M,C,O,98,107,80,76,29
F,E,Y,34,83,70,26,41
F,E,O,85,36,79,66,34
M,E,M,63,87,64,49,46
F,A,M,60,49,73,47,40
F,B,O,82,30,57,64,21
F,D,O,98,20,62,76,17
M,E,M,50,27,67,39,32
F,E,Y,21,63,78,16,44
M,C,O,72,54,70,56,44
M,C,O,76,111,77,59,60
F,C,O,88,45,75,68,25
M,E,O,73,64,56,57,30
F,B,U,14,118,18,11,61
F,E,O,80,26,61,62,28
M,E,U,11,41,32,9,48
F,B,U,7,91,13,5,55
F,B,M,62,55,63,48,65
M,B,U,7,23,9,5,62
F,E,U,15,114,15,12,36
F,E,O,82,43,61,64,30
F,E,M,64,43,67,50,34
F,E,Y,37,79,66,29,40
M,D,M,41,83,58,32,36
F,B,O,68,38,67,53,19
F,A,O,81,34,64,63,45
M,B,U,9,67,14,7,48
F,A,O,66,26,68,51,41
F,A,U,11,99,20,9,28
F,A,U,8,117,10,6,27
F,E,Y,26,70,76,20,46
M,B,O,75,107,80,58,44
F,C,O,92,22,52,72,36
M,C,O,78,79,64,61,42
M,D,M,51,75,42,40,33
M,B,U,10,47,21,8,24
F,D,U,10,103,22,8,47
F,E,M,49,61,58,38,48
F,A,M,46,47,57,36,37
M,A,U,10,106,28,8,27
M,A,O,100,102,72,78,50
F,B,M,61,44,47,47,58
M,A,M,202,42,86,157,36
M,B,Y,25,40,58,19,44
M,D,M,56,88,74,44,31
M,A,M,50,43,55,39,37
M,C,M,59,58,62,46,57
M,C,U,12,90,23,9,46
F,C,O,70,43,66,54,53
F,E,M,45,56,62,35,45
M,C,M,43,38,64,33,23
F,A,Y,26,84,68,20,31
M,A,M,41,82,77,32,35
F,B,O,78,41,49,61,57
F,E,O,83,40,72,65,29
M,C,Y,29,21,53,23,23
F,D,U,14,114,21,11,45
M,C,U,13,66,15,10,47
M,A,O,78,72,79,61,45
M,C,U,5,28,10,4,37
F,A,M,205,47,62,159,23
F,E,Y,28,93,58,22,42
F,E,M,54,43,55,42,46
M,D,M,60,103,63,47,30
M,A,Y,21,89,71,16,30
M,E,U,9,56,9,7,34
M,D,U,15,49,9,12,45
M,D,O,71,34,72,55,26
F,D,U,13,102,28,10,46
M,E,Y,29,54,58,23,32
F,A,Y,34,71,67,26,33
M,D,O,76,104,71,59,25
M,A,U,10,112,12,8,27
M,B,U,8,28,19,6,24
M,B,Y,36,81,45,28,26
M,C,M,62,24,63,48,40
F,B,M,63,56,58,49,47
M,D,U,11,68,11,9,46
F,A,O,96,33,73,75,49
F,C,M,47,53,59,37,42
M,B,U,8,95,28,6,41
M,E,O,95,85,71,74,48
M,A,Y,18,112,47,14,29
F,E,U,13,113,10,10,42
M,C,U,8,39,36,6,49
M,C,O,67,73,74,52,44
M,C,O,94,41,79,73,35
F,A,M,61,48,67,47,40
M,A,Y,31,70,82,24,33
M,C,M,63,44,58,49,52
F,D,M,63,52,53,49,29
F,E,O,77,31,75,60,26
F,A,U,12,116,22,9,28
M,E,M,45,29,61,35,26
F,D,U,7,108,19,5,48
F,B,M,47,42,63,37,43
M,E,M,45,66,71,35,38
M,E,Y,32,92,53,25,26
F,A,O,71,40,68,55,43
F,C,U,10,119,10,8,30
F,D,O,73,33,66,57,26
M,A,O,100,58,82,78,50
F,B,M,61,44,80,47,21
M,D,Y,16,39,45,12,45
M,D,M,42,48,68,33,36
F,D,M,50,47,62,39,33
F,D,Y,16,93,60,12,45
F,D,U,9,99,20,7,47
F,E,M,55,47,78,43,50
M,B,O,65,35,64,51,33
F,E,O,77,37,58,60,42
F,B,U,14,92,19,11,40
F,C,O,78,44,67,61,49
M,C,Y,19,67,66,15,57
M,E,U,8,49,26,6,40
M,B,O,90,105,69,70,54
F,D,M,50,62,54,39,33
F,B,O,76,20,72,59,49
F,C,U,11,100,15,9,48
M,C,U,14,59,13,11,51
F,C,O,99,24,60,77,26
F,D,Y,23,72,81,18,42
M,C,O,70,47,67,54,47
F,D,Y,32,67,67,25,39
M,D,Y,34,33,72,26,39
M,D,U,11,25,10,9,46
F,C,O,80,33,69,62,48
M,B,Y,19,105,65,15,16
M,C,Y,18,42,55,14,50
F,A,U,10,104,17,8,27
M,D,O,98,114,72,76,17
F,B,U,5,94,19,4,17
F,B,M,51,49,52,40,60
M,D,O,89,99,65,69,20
M,B,M,62,92,66,48,62
F,D,O,69,40,72,54,27
M,D,O,202,47,53,157,69
F,A,M,61,42,64,47,40
F,B,O,85,24,55,66,28
F,D,O,82,21,59,64,23
F,C,O,82,38,60,64,57
M,E,U,14,29,14,11,45
F,E,M,48,56,36,37,32
F,E,O,73,20,65,57,33
M,B,U,8,44,17,6,40
F,C,M,54,55,65,42,52
F,D,O,93,22,62,72,19
F,B,Y,32,80,61,25,21
M,E,O,97,90,56,75,40
F,E,O,76,24,62,59,47
M,A,U,8,26,15,6,27
M,C,Y,18,103,64,14,57
M,D,Y,35,63,72,27,38
F,C,U,11,109,24,9,55
F,C,Y,206,60,62,160,20
F,C,U,11,111,28,9,51
M,A,Y,26,43,59,20,31
F,B,M,42,43,74,33,55
F,C,Y,36,79,55,28,35
M,A,Y,18,33,60,14,29
F,C,O,72,24,71,56,51
F,B,Y,37,67,57,29,62
M,E,Y,20,82,67,16,40
M,D,Y,36,72,67,28,38
F,D,Y,19,61,53,15,44
M,A,U,13,100,22,10,28
F,D,M,52,40,61,40,33
M,B,Y,23,67,60,18,28
M,D,M,47,29,53,37,34
M,D,M,50,21,57,39,33
F,B,O,74,28,65,58,67
M,D,Y,35,71,81,27,38
F,E,M,59,46,61,46,40
M,C,U,6,22,16,5,20
M,D,Y,38,29,76,30,37
M,C,U,9,30,7,7,34
F,B,Y,36,84,73,28,67
M,B,Y,21,34,78,16,37
M,D,O,88,114,65,68,21
F,B,U,7,102,15,5,61
F,E,Y,33,70,59,26,44
M,A,U,9,55,14,7,27
F,C,O,68,32,69,53,59
F,D,M,200,52,51,156,56
M,D,O,84,98,81,65,22
F,A,U,7,102,16,5,27
M,E,M,62,47,61,48,36
F,B,O,73,39,84,57,62
F,C,O,96,38,76,75,24
M,D,O,79,39,65,61,24
M,B,O,80,61,61,62,59
F,C,M,42,57,58,33,31
M,D,U,11,20,32,9,46
M,A,Y,28,36,52,22,32
M,D,Y,28,57,49,22,41
M,B,Y,29,60,59,23,54
M,A,O,91,65,59,71,48
M,A,O,74,38,73,58,43
M,E,U,7,23,30,5,42
M,C,M,61,31,57,47,38
M,D,U,9,95,14,7,47
M,B,U,12,49,13,9,56
F,C,M,51,46,63,40,45
F,B,U,7,97,11,5,34
F,C,U,12,110,16,9,23
F,E,M,60,63,73,47,32
M,A,M,52,102,71,40,38
M,C,M,50,65,75,39,23
F,E,U,13,105,16,10,37
M,E,M,45,43,58,35,35
M,B,O,74,35,76,58,40
F,A,U,8,115,23,6,27
F,E,M,54,47,68,42,39
M,C,M,43,93,57,33,30
M,A,O,67,93,70,52,42
M,A,Y,17,94,70,13,29
M,B,M,45,84,68,35,18
M,E,Y,28,23,65,22,43
F,C,U,10,117,23,8,38
F,E,Y,18,97,70,14,34
F,B,O,75,27,64,58,34
M,A,O,66,109,55,51,41
F,D,O,72,41,71,56,26
M,D,U,15,28,26,12,45
M,B,U,10,87,21,8,34
F,E,O,77,26,64,60,27
M,A,Y,33,101,70,26,33
F,E,U,14,93,19,11,46
F,A,O,90,25,57,70,47
M,C,Y,22,46,74,17,30
F,E,U,6,93,17,5,45
F,D,Y,33,69,82,26,39
F,A,U,9,97,11,7,27
F,D,U,6,118,16,5,48
M,C,O,78,23,65,61,39
F,D,Y,23,61,73,18,42
F,B,Y,18,67,73,14,65
F,E,Y,26,63,76,20,28
F,B,U,12,111,7,9,56
M,B,O,95,119,67,74,54
M,A,U,11,21,15,9,28
F,C,O,86,22,74,67,35
M,C,O,80,115,79,62,20
M,A,U,12,90,33,9,28
F,E,M,52,53,65,40,33
M,B,U,11,27,3,9,26
F,D,O,97,35,72,75,18
F,A,Y,23,84,69,18,31
F,C,M,56,56,80,44,50
F,C,O,67,34,77,52,54
M,B,O,83,100,63,65,69
F,C,Y,35,67,69,27,28
F,A,M,61,62,65,47,40
M,B,M,51,114,71,40,57
M,A,M,41,41,61,32,35
M,D,O,76,75,68,59,25
M,B,Y,38,52,59,30,44
F,D,O,67,35,75,52,28
F,B,O,86,40,68,67,65
F,B,Y,24,80,51,19,63
M,A,Y,18,71,56,14,29
F,B,M,40,60,68,31,63
M,A,O,72,34,64,56,43
F,D,Y,24,67,68,19,42
M,E,Y,38,104,60,30,38
F,C,U,15,96,22,12,49
F,B,U,210,106,13,163,43
F,B,Y,36,94,58,28,22
F,A,U,14,94,26,11,29
F,A,M,48,50,58,37,37
M,D,U,7,46,26,5,48
M,C,Y,17,73,65,13,55
M,D,U,14,92,23,11,45
M,A,O,88,41,67,68,47
M,B,O,79,78,61,61,67
F,A,O,89,36,68,69,47
M,B,U,6,52,19,5,18
M,D,Y,36,58,65,28,38
M,E,M,63,113,64,49,31
F,B,Y,25,64,67,19,55
M,D,U,5,112,10,4,48
M,E,O,97,81,70,75,38
M,E,O,69,112,71,54,47
M,A,M,48,91,74,37,37
M,D,M,45,101,72,35,35
F,B,M,46,46,85,36,62
F,C,O,66,38,81,51,21
M,E,M,59,64,67,46,48
M,E,O,95,90,61,74,48
M,B,M,44,116,73,34,18
M,D,O,96,105,69,75,18
M,E,O,78,114,72,61,48
F,A,M,47,51,49,37,37
M,C,M,55,100,57,43,26
M,B,Y,16,111,54,12,28
M,B,M,43,115,58,33,25
F,E,Y,39,87,63,30,32
M,A,O,67,108,70,52,42
M,A,O,91,21,63,71,48
M,A,M,58,84,55,45,39
M,C,Y,22,37,67,17,49
F,C,U,7,95,7,5,24
F,E,O,66,40,69,51,45
F,E,Y,33,83,79,26,40
F,D,U,6,113,13,5,48
M,A,O,78,28,76,61,45
M,E,Y,24,21,72,19,37
F,A,Y,23,82,63,18,31
M,E,O,95,109,67,74,31
M,D,U,12,103,11,9,46
M,D,O,98,46,78,76,17
M,B,O,74,55,73,58,37
M,C,Y,38,75,67,30,58
F,E,U,11,101,15,9,32
M,D,M,49,74,69,38,34
F,A,U,12,107,10,9,28
M,C,M,64,21,71,50,23
F,B,U,9,113,24,7,59
M,B,O,90,54,63,70,51
M,D,Y,22,76,71,17,43
M,C,M,42,77,72,33,44
M,D,M,58,26,66,45,31
F,C,O,99,21,71,77,55
M,C,O,83,95,55,65,56
F,E,Y,29,82,72,23,43
F,E,O,69,35,57,54,41
M,C,M,48,84,53,37,24
M,B,M,60,70,51,47,35
M,A,M,44,68,65,34,36
F,B,U,14,106,14,11,21
F,C,Y,29,84,62,23,34
F,B,Y,35,92,61,27,50
F,E,M,53,54,60,41,31
M,A,O,72,101,79,56,43
M,E,Y,33,87,69,26,36
F,D,M,62,43,60,48,29
M,D,U,6,38,20,5,48
M,C,U,13,83,24,10,49
F,A,Y,206,85,76,160,30
M,E,M,54,116,51,42,31
F,A,M,53,63,60,41,38
F,E,M,52,61,73,40,39
F,E,U,13,113,16,10,35
F,B,M,43,62,67,33,41
M,B,U,14,38,26,11,65
F,A,M,40,47,55,31,35
F,D,Y,21,77,66,16,43
F,C,Y,21,98,65,16,39
M,D,Y,31,74,73,24,40
M,E,O,83,84,57,65,40
M,B,M,57,98,57,44,29
F,B,U,11,110,17,9,16
F,A,U,11,94,30,9,28
F,E,M,60,52,67,47,33
F,D,Y,22,63,52,17,43
F,A,U,9,96,8,7,27
M,A,M,60,61,67,47,40
M,C,U,9,115,23,7,52
F,A,Y,37,61,63,29,34
M,B,M,60,60,69,47,31
M,C,U,10,55,32,8,45
F,C,Y,35,87,67,27,44
M,B,O,69,47,86,54,58
M,C,O,69,28,72,54,30
M,B,M,46,64,64,36,62
F,D,U,9,118,21,7,47
F,B,M,42,55,66,33,64
F,E,O,98,36,67,76,34
F,C,M,41,64,70,32,59
M,B,U,13,57,22,10,26
F,D,U,10,107,11,8,47
M,C,Y,24,23,63,19,51
F,A,M,63,45,69,49,41
M,A,U,6,73,29,5,27
F,C,O,86,24,69,67,48
M,C,O,80,72,71,62,23
M,D,M,63,37,84,49,29
F,D,M,61,64,76,47,30
M,C,U,12,43,7,9,44
F,A,Y,25,67,72,19,31
F,A,O,69,44,63,54,42
M,B,U,12,37,32,9,43
M,C,O,202,101,84,157,22
M,B,Y,18,116,60,14,62
F,A,M,49,61,77,38,37
M,C,M,50,33,59,39,27
M,A,Y,24,52,52,19,31
F,E,M,46,47,69,36,44
F,C,U,10,102,17,8,30
M,A,M,56,109,55,44,39
M,E,M,50,57,62,39,45
M,A,U,13,62,21,10,28
M,E,U,12,48,26,9,30
M,B,Y,26,95,82,20,32
M,A,M,43,92,65,33,36
F,B,O,66,43,77,51,43
F,B,Y,28,68,83,22,59
M,C,Y,25,51,71,19,36
M,A,Y,30,97,82,23,33
F,B,Y,36,64,73,28,69
M,D,Y,28,38,80,22,41
F,C,M,47,64,60,37,55
F,D,U,11,107,29,9,46
F,A,U,9,115,22,7,27
M,B,U,5,91,20,4,16
F,B,Y,37,90,63,29,33
F,E,O,72,37,70,56,26
M,D,M,54,117,50,42,32
F,E,M,51,46,49,40,31
M,C,Y,31,39,58,24,21
F,D,M,53,61,67,41,32
F,D,O,74,35,73,58,25
M,D,Y,39,82,63,30,37
F,A,Y,35,75,72,27,34
F,A,O,90,36,66,70,47
F,E,M,60,63,50,47,45
M,A,U,6,100,13,5,27
M,C,Y,34,43,62,26,30
M,D,M,47,65,67,37,34
M,A,M,62,37,59,48,41
M,E,O,81,69,50,63,49
M,A,M,55,113,59,43,39
M,E,M,54,47,61,42,50
M,D,O,72,117,55,56,26
M,D,O,78,118,72,61,24
M,E,M,59,103,57,46,38
F,A,M,55,46,74,43,39
M,B,Y,36,24,61,28,35
M,A,M,47,112,50,37,37
F,D,Y,36,99,69,28,38
M,C,M,59,93,63,46,56
F,C,U,15,93,14,12,29
M,C,U,11,84,22,9,56
F,D,O,83,25,71,65,22
M,E,O,80,94,62,62,35
F,D,Y,32,78,70,25,39
F,E,M,51,53,59,40,40
M,D,Y,31,100,80,24,40
F,E,Y,36,62,59,28,29
M,A,Y,21,41,55,16,30
M,E,M,45,107,57,35,35
F,A,Y,20,72,56,16,30
F,E,O,77,30,58,60,49
F,E,Y,17,74,76,13,45
M,C,U,13,49,24,10,38
F,D,Y,18,95,66,14,44
F,E,M,58,64,67,45,41
F,C,U,6,92,19,5,46
M,D,M,57,98,62,44,31
F,B,M,52,61,64,40,56
F,A,Y,17,73,67,13,29
F,C,M,54,57,57,42,35
F,B,O,77,41,71,60,32
M,E,O,68,78,64,53,43
F,E,Y,20,94,62,16,37
F,E,M,208,63,84,162,35
F,C,O,74,37,50,58,25
M,D,M,47,41,47,37,34
M,B,Y,33,63,71,26,56
M,B,O,94,114,74,73,49
F,A,U,13,112,17,10,28
M,B,U,6,33,19,5,17
M,C,M,57,68,69,44,22
F,C,U,15,107,13,12,40
M,B,O,86,33,63,67,65
F,A,O,84,31,82,65,46
M,A,Y,38,80,58,30,35
F,E,M,48,49,49,37,47
F,A,O,70,26,59,54,43
M,A,U,5,65,21,4,26
F,A,M,45,43,70,35,36
F,E,O,84,45,80,65,45
F,E,O,91,34,83,71,36
M,B,Y,27,63,70,21,63
F,C,U,12,108,22,9,27
F,B,O,95,34,78,74,68
F,C,U,11,106,13,9,41
M,D,O,70,82,65,54,27
M,B,M,60,39,54,47,67
M,C,Y,29,38,57,23,29
F,D,M,63,41,62,49,29
F,C,U,14,100,8,11,23
M,A,Y,25,80,63,19,31
F,B,U,5,110,18,4,68
M,A,O,74,41,80,58,43
F,C,M,51,61,54,40,49
F,B,M,48,63,62,37,42
M,D,M,59,87,72,46,30
M,A,M,48,25,64,37,37
F,D,O,84,43,57,65,22
M,B,Y,21,95,75,16,44
F,A,Y,201,75,77,156,39
M,E,Y,33,109,66,26,27
M,B,Y,33,109,61,26,16
M,D,O,80,94,71,62,23
M,B,O,79,27,77,61,62
F,E,U,10,115,24,8,32
F,A,U,10,105,22,8,27
F,D,Y,34,79,61,26,39
F,C,O,86,31,72,67,50
M,B,M,42,68,59,33,34
M,C,O,74,46,67,58,22
M,C,O,84,33,69,65,44
M,A,Y,36,38,65,28,34
F,E,M,47,56,72,37,47
M,B,M,41,114,53,32,29
F,A,M,61,45,73,47,40
M,C,Y,20,49,50,16,38
M,B,O,95,69,50,74,49
F,D,Y,17,88,63,13,44
M,B,U,11,104,18,9,60
M,B,U,8,30,16,6,36
F,E,U,11,92,18,9,38
F,B,U,8,96,18,6,33
F,D,U,7,98,9,5,48
M,C,U,11,68,28,9,41
F,D,Y,26,97,62,20,41
F,A,O,89,36,81,69,47
F,E,Y,34,81,53,26,42
F,B,U,11,115,11,9,40
F,B,Y,31,90,74,24,28
M,C,U,9,28,20,7,55
M,A,U,6,40,22,5,27
F,A,Y,25,79,60,19,31
F,D,U,14,111,18,11,45
F,E,Y,34,74,66,26,44
F,D,M,50,48,55,39,33
F,E,O,78,35,77,61,30
F,A,O,91,24,72,71,48
F,E,M,56,54,57,44,37
M,D,U,14,70,24,11,45
F,B,U,10,119,23,8,51
F,D,U,12,116,24,9,46
F,A,Y,34,80,62,26,33
M,E,O,70,92,66,54,44
F,D,O,72,37,72,56,26
F,E,O,96,45,73,75,48
F,A,Y,25,94,77,19,31
M,C,Y,16,47,58,12,40
F,A,O,83,41,81,65,46
M,C,U,14,77,11,11,34
M,B,M,49,30,58,38,37
F,D,Y,35,66,69,27,38
M,B,Y,25,48,68,19,53
F,D,O,92,25,62,72,19
M,B,Y,18,108,73,14,47
M,E,U,6,44,18,5,34
M,B,O,95,97,66,74,29
F,B,M,202,42,61,157,26
M,A,O,91,112,76,71,48
M,B,O,77,58,64,60,54
F,C,Y,20,74,61,16,51
F,E,M,56,51,75,44,40
F,C,U,12,119,23,9,29
M,D,U,10,106,20,8,47
F,C,M,49,49,55,38,46
M,A,M,54,89,69,42,39
M,C,M,63,53,53,49,45
M,D,M,64,62,72,50,29
F,A,M,62,56,67,48,41
M,A,Y,30,70,63,23,33
F,E,U,12,104,20,9,49
M,D,Y,37,58,62,29,38
F,A,M,55,48,68,43,39
M,E,M,60,68,78,47,25
F,D,U,8,109,23,6,47
M,C,M,51,97,64,40,36
F,C,U,9,108,23,7,21
F,C,Y,27,70,62,21,58
M,C,M,57,21,67,44,24
M,D,Y,26,55,66,20,41
M,E,M,64,86,61,50,42
F,A,Y,37,80,73,29,34
F,B,O,84,33,81,65,32
F,C,Y,30,76,63,23,40
F,B,U,10,119,19,8,49
F,C,Y,28,67,51,22,58
M,B,O,99,76,82,77,56
M,C,M,44,110,75,34,42
M,D,U,12,88,23,9,46
F,B,M,57,58,58,44,42
M,E,O,207,72,74,161,35
F,B,U,8,111,29,6,23
M,D,U,11,78,25,9,46
F,C,M,54,57,65,42,31
F,D,M,59,46,65,46,30
M,A,O,87,108,69,68,47
M,E,O,75,115,66,58,40
M,B,U,11,30,18,9,67
F,B,U,12,92,22,9,52
M,B,Y,35,114,59,27,45
M,E,U,14,43,18,11,33
M,D,U,10,67,22,8,47
M,C,M,54,75,46,42,21
M,B,O,92,62,61,72,44
M,C,O,65,22,67,51,22
M,E,U,12,28,19,9,43
M,D,Y,19,65,63,15,44
M,C,Y,20,76,64,16,35
M,D,O,79,95,67,61,24
M,A,Y,28,28,70,22,32
M,C,O,91,83,60,71,31
M,A,O,89,56,71,69,47
M,C,U,11,80,21,9,46
F,C,O,68,39,53,53,46
M,A,Y,31,29,53,24,33
F,B,U,14,116,16,11,68
M,B,M,60,87,55,47,63
M,E,M,61,60,51,47,45
M,B,U,14,21,24,11,28
M,C,M,63,113,57,49,35
M,B,O,93,100,66,72,42
M,B,Y,21,81,76,16,43
M,C,U,7,35,24,5,25
F,C,Y,21,81,60,16,48
M,E,U,11,46,24,9,42
F,E,Y,35,71,77,27,31
M,A,U,8,39,24,6,27
M,D,U,13,115,22,10,46
F,A,U,8,100,25,6,27
M,D,U,13,61,17,10,46
M,E,Y,27,118,70,21,45
F,D,M,40,56,65,31,37
M,B,Y,207,93,71,161,25
M,A,M,44,95,61,34,36
F,A,M,45,63,71,35,36
M,D,Y,36,109,75,28,38
M,E,Y,16,34,68,12,44
M,E,M,62,54,71,48,31
M,C,U,6,109,20,5,31
F,E,O,79,31,75,61,42
M,D,M,61,30,65,47,30
M,B,M,48,24,66,37,19
M,B,M,47,95,63,37,60
M,A,U,7,53,30,5,27
F,E,M,55,56,75,43,44
M,E,M,44,61,84,34,39
F,C,U,12,116,10,9,34
M,D,O,87,110,69,68,21
M,D,Y,21,31,67,16,43
F,D,O,72,37,82,56,26
M,E,Y,18,28,59,14,47
F,E,M,45,61,60,35,48
M,C,U,11,85,24,9,28
M,D,Y,38,47,62,30,37
M,C,U,11,36,19,9,34
M,B,M,58,47,72,45,65
M,A,O,67,26,67,52,42
M,B,Y,24,83,50,19,17
M,B,U,9,62,24,7,25
F,E,U,7,117,21,5,27
F,E,M,46,62,56,36,29
M,A,O,93,115,68,72,48
F,A,O,97,26,68,75,49
M,D,M,57,23,70,44,31
M,E,M,61,108,74,47,45
F,C,U,12,94,17,9,42
M,A,O,92,37,54,72,48
M,E,U,7,42,8,5,35
M,E,Y,17,76,64,13,47
M,D,U,10,112,25,8,47
F,B,U,9,115,28,7,21
M,A,M,42,51,62,33,35
F,D,O,95,27,62,74,18
M,C,U,14,35,14,11,42
M,B,U,11,94,15,9,44
F,D,M,56,40,71,44,31
M,A,M,48,66,81,37,37
F,C,Y,17,88,56,13,58
F,A,Y,28,72,68,22,32
F,A,O,78,21,64,61,45
M,E,M,58,34,60,45,40
M,A,U,8,91,16,6,27
M,C,M,52,58,60,40,58
F,D,Y,39,63,53,30,37
M,B,O,82,21,67,64,67
M,C,O,76,53,60,59,49
M,C,M,57,88,56,44,30
F,D,M,49,48,57,38,34
M,B,U,6,95,18,5,24
M,B,U,14,70,23,11,39
F,C,Y,36,65,67,28,21
M,E,M,42,69,64,33,32
M,E,M,50,64,67,39,32
F,C,O,69,39,58,54,30
M,D,Y,32,119,66,25,39
M,B,O,98,113,83,76,33
M,A,O,77,49,75,60,44
F,C,Y,37,93,63,29,38
F,A,Y,33,85,74,26,33
M,E,O,75,76,74,58,28
F,C,M,42,55,59,33,30
F,E,O,70,30,39,54,47
M,E,M,48,59,67,37,38
M,A,M,41,98,79,32,35
M,C,U,6,24,25,5,53
M,B,M,57,57,63,44,62
F,B,Y,36,63,77,28,35
M,E,O,68,94,74,53,36
F,B,U,9,111,15,7,37
M,D,O,81,104,55,63,23
F,E,M,49,46,52,38,45
F,B,O,84,44,76,65,37
M,A,Y,23,31,57,18,31
F,C,Y,33,94,70,26,58
M,A,Y,31,55,55,24,33
F,D,M,63,46,58,49,29
M,C,Y,23,93,61,18,33
M,C,O,94,78,80,73,32
F,C,O,77,33,69,60,30
F,D,O,75,40,83,44.36191041,25
M,A,O,70,103,60,54,43
F,D,M,63,52,67,49,29
F,D,O,97,28,53,75,18
M,C,M,61,41,63,47,59
M,D,O,69,49,66,54,27
M,D,Y,27,27,78,21,41
M,E,U,7,36,19,5,29
M,E,O,73,106,71,57,43
F,D,M,61,57,65,47,30
F,D,M,63,42,48,49,29
F,D,O,75,33,67,58,25
M,C,U,12,23,31,9,59
F,D,U,8,114,19,6,47
F,D,O,71,37,67,55,26
F,E,M,41,53,62,32,49
M,E,M,62,102,72,48,46
M,D,Y,28,113,65,22,41
M,D,O,69,43,60,54,27
M,E,U,5,43,15,4,31
M,B,M,49,75,69,38,52
M,C,O,98,63,64,76,25
F,A,O,74,29,79,58,43
F,A,M,56,63,75,44,39
F,E,Y,30,72,61,23,31
F,B,M,43,60,63,33,29
F,C,Y,28,97,65,22,23
F,C,U,14,106,30,11,38
M,D,M,58,41,80,45,31
M,D,U,5,70,33,4,48
M,D,M,51,32,88,40,33
M,E,Y,24,33,66,19,48
F,C,O,76,29,65,59,47
M,B,M,62,65,44,48,34
F,A,Y,32,89,70,25,33
M,A,O,81,35,61,63,45
M,C,O,81,24,74,63,27
F,E,U,8,97,14,6,38
F,C,M,47,55,42,37,52
M,B,Y,16,107,65,12,17
M,C,U,10,33,14,8,50
F,B,O,78,32,71,61,63
M,B,O,85,64,63,66,61
M,B,O,72,83,70,56,67
M,B,M,44,79,58,34,61
M,A,U,7,101,24,5,27
F,D,M,63,42,42,49,29
F,E,M,49,45,58,38,44
M,B,O,82,97,73,64,48
F,D,O,99,26,73,77,17
M,C,Y,24,82,67,19,48
F,B,M,46,64,54,36,49
F,E,Y,32,61,71,25,31
M,B,O,81,118,64,63,64
F,A,U,7,108,16,5,27
M,D,O,74,29,60,58,25
F,D,Y,28,97,89,22,41
M,D,O,69,112,66,54,27
M,D,U,9,81,23,7,47
M,B,U,6,78,11,5,60
M,E,Y,17,95,67,13,28
M,C,O,90,22,69,70,45
F,E,U,5,95,12,4,35
M,B,U,5,36,28,4,35
M,C,Y,25,59,66,19,53
F,D,Y,28,85,64,22,41
M,C,M,50,28,71,39,58
F,C,O,84,26,72,65,56
F,D,M,43,52,67,33,36
M,E,M,63,28,58,49,26
F,D,O,78,42,57,61,24
F,C,U,6,91,27,5,57
F,A,M,48,61,68,37,37
F,B,M,54,60,47,42,26
F,E,Y,37,63,55,29,48
F,C,M,60,46,42,47,52
M,A,M,56,91,56,44,39
F,B,Y,21,70,71,16,18
M,E,U,8,26,23,6,47
F,A,O,68,33,61,53,42
F,E,M,42,40,39,33,26
F,C,Y,22,91,58,17,39
M,A,O,93,21,81,72,48
M,E,U,9,47,21,7,38
F,B,M,54,61,57,42,21
F,A,M,45,52,80,35,36
F,E,Y,19,80,56,15,36
F,E,M,54,51,68,42,43
M,B,U,8,117,22,6,51
M,E,M,46,44,53,36,44
M,B,U,14,65,20,11,44
M,A,U,13,61,8,10,28
M,E,M,64,69,57,50,49
M,E,U,12,27,23,9,31
F,E,M,50,48,57,39,29
M,E,Y,31,81,64,24,35
M,C,M,41,82,58,32,29
F,E,Y,35,70,67,27,39
F,D,U,13,108,14,10,46
F,B,Y,20,76,62,16,16
F,A,Y,34,95,73,26,33
M,D,Y,37,95,71,29,38
M,E,U,14,54,20,11,34
F,C,Y,38,85,67,30,56
M,D,M,60,82,63,47,30
F,D,U,9,105,19,7,47
M,A,Y,32,48,62,25,33
F,E,U,9,108,19,7,26
M,B,Y,22,101,76,17,22
M,D,O,83,70,61,65,22
F,E,O,95,26,69,74,37
F,A,M,47,44,64,37,37
M,A,M,57,107,63,44,39
F,C,M,60,64,59,47,24
M,C,Y,33,70,55,26,55
M,B,O,83,22,67,65,51
F,A,O,66,41,68,51,41
F,B,O,78,44,64,61,17
M,A,U,9,36,30,7,27
F,D,U,6,115,20,5,48
F,B,Y,21,84,54,16,19
F,C,U,10,98,18,8,43
F,E,M,40,52,59,31,49
F,B,U,11,109,11,9,22
F,D,M,50,48,72,39,33
M,D,U,9,96,15,7,47
F,E,O,70,43,80,54,28
M,D,O,75,88,70,58,25
F,D,Y,34,88,57,26,39
M,E,U,11,25,16,9,34
M,D,Y,29,108,62,23,40
M,B,O,71,21,67,55,32
M,C,O,93,112,65,72,50
M,D,O,94,116,77,73,19
F,A,Y,16,85,78,12,29
M,E,Y,30,90,77,23,33
M,A,U,11,23,22,9,28
F,A,O,72,22,65,56,43
F,E,O,71,33,77,55,38
F,E,O,89,29,77,69,34
M,A,U,9,107,19,7,27
F,C,U,14,96,15,11,54
M,B,M,56,27,67,44,59
F,E,O,100,29,64,78,26
M,A,Y,29,73,52,23,32
M,C,M,49,53,61,38,24
M,E,M,42,92,63,33,34
